# cohort: haiti-baseline
# ena_query: tax_eq(666) AND country="Haiti*" AND instrument_platform="ILLUMINA" AND library_strategy="WGS"
# runs: 432
run_accession	sample_accession	study_accession	country	collection_date	first_public	instrument_platform	library_strategy	read_count
SRR8364335	SAMN10610862	PRJNA510624	Haiti: CTC Gressier	2017-01-10	2018-12-22	ILLUMINA	WGS	934438
SRR8364334	SAMN10610863	PRJNA510624	Haiti: CTC Gressier	2017-01-12	2018-12-22	ILLUMINA	WGS	957509
SRR8364326	SAMN10610864	PRJNA510624	Haiti: CTC Gressier	2017-01-13	2018-12-22	ILLUMINA	WGS	1826865
SRR8364402	SAMN10610866	PRJNA510624	Haiti: CTC Gressier	2017-01-18	2018-12-22	ILLUMINA	WGS	1696096
SRR8364403	SAMN10610867	PRJNA510624	Haiti: CTC Gressier	2017-01-24	2018-12-22	ILLUMINA	WGS	723113
SRR8364404	SAMN10610868	PRJNA510624	Haiti: CTC Gressier	2017-01-27	2018-12-22	ILLUMINA	WGS	1064239
SRR8364405	SAMN10610869	PRJNA510624	Haiti: CTC Gressier	2017-02-01	2018-12-22	ILLUMINA	WGS	1282000
SRR8364406	SAMN10610870	PRJNA510624	Haiti	2017-02-13	2018-12-22	ILLUMINA	WGS	1637184
SRR8364407	SAMN10610871	PRJNA510624	Haiti: CTC Gressier	2017-02-20	2018-12-22	ILLUMINA	WGS	1744295
SRR8364408	SAMN10610872	PRJNA510624	Haiti: CTC Gressier	2017-02-20	2018-12-22	ILLUMINA	WGS	1439677
SRR8364409	SAMN10610873	PRJNA510624	Haiti: CTC Jacmel	2017-02-20	2018-12-22	ILLUMINA	WGS	1713402
SRR8364293	SAMN10610876	PRJNA510624	Haiti: CTC Gressier	2017-02-21	2018-12-22	ILLUMINA	WGS	1088640
SRR8364410	SAMN10610874	PRJNA510624	Haiti: CTC Gressier	2017-02-21	2018-12-22	ILLUMINA	WGS	2348883
SRR8364411	SAMN10610875	PRJNA510624	Haiti: CTC Gressier	2017-02-21	2018-12-22	ILLUMINA	WGS	1860879
SRR8364291	SAMN10610878	PRJNA510624	Haiti: CTC Gressier	2017-02-24	2018-12-22	ILLUMINA	WGS	1783944
SRR8364292	SAMN10610877	PRJNA510624	Haiti: CTC Gressier	2017-02-24	2018-12-22	ILLUMINA	WGS	652328
SRR8364290	SAMN10610879	PRJNA510624	Haiti: CTC Gressier	2017-02-27	2018-12-22	ILLUMINA	WGS	909866
SRR8364453	SAMN10610880	PRJNA510624	Haiti: CTC Gressier	2017-03-02	2018-12-22	ILLUMINA	WGS	1388311
SRR8364452	SAMN10610881	PRJNA510624	Haiti: CTC Gressier	2017-03-03	2018-12-22	ILLUMINA	WGS	1352373
SRR8364451	SAMN10610882	PRJNA510624	Haiti: CTC Gressier	2017-03-06	2018-12-22	ILLUMINA	WGS	912845
SRR8364450	SAMN10610883	PRJNA510624	Haiti: CTC Gressier	2017-03-14	2018-12-22	ILLUMINA	WGS	1343093
SRR8364449	SAMN10610884	PRJNA510624	Haiti: CTC Gressier	2017-03-17	2018-12-22	ILLUMINA	WGS	1257288
SRR8364448	SAMN10610885	PRJNA510624	Haiti: Christianville school, Gressier	2017-03-23	2018-12-22	ILLUMINA	WGS	1105698
SRR8364363	SAMN10610888	PRJNA510624	Haiti: CTC Gressier	2017-03-28	2018-12-22	ILLUMINA	WGS	1116245
SRR8364365	SAMN10610886	PRJNA510624	Haiti: CTC Gressier	2017-03-28	2018-12-22	ILLUMINA	WGS	1012782
SRR8364366	SAMN10610887	PRJNA510624	Haiti: CTC Gressier	2017-03-28	2018-12-22	ILLUMINA	WGS	1031056
SRR8364364	SAMN10610889	PRJNA510624	Haiti: CTC Jacmel	2017-03-30	2018-12-22	ILLUMINA	WGS	1521045
SRR8364361	SAMN10610890	PRJNA510624	Haiti: CTC Gressier	2017-04-03	2018-12-22	ILLUMINA	WGS	1009044
SRR8364362	SAMN10610891	PRJNA510624	Haiti: CTC Gressier	2017-04-04	2018-12-22	ILLUMINA	WGS	915699
SRR8364359	SAMN10610892	PRJNA510624	Haiti: CTC Jacmel	2017-04-07	2018-12-22	ILLUMINA	WGS	920941
SRR8364360	SAMN10610893	PRJNA510624	Haiti: CTC Gressier	2017-04-11	2018-12-22	ILLUMINA	WGS	725586
SRR8364367	SAMN10610894	PRJNA510624	Haiti: CTC Jacmel	2017-04-13	2018-12-22	ILLUMINA	WGS	919759
SRR8364368	SAMN10610895	PRJNA510624	Haiti: CTC Jacmel	2017-04-17	2018-12-22	ILLUMINA	WGS	707876
SRR8364385	SAMN10610896	PRJNA510624	Haiti: CTC Jacmel	2017-04-17	2018-12-22	ILLUMINA	WGS	1290288
SRR8364384	SAMN10610897	PRJNA510624	Haiti: CTC Gressier	2017-04-18	2018-12-22	ILLUMINA	WGS	946331
SRR8364387	SAMN10610898	PRJNA510624	Haiti: CTC Gressier	2017-04-20	2018-12-22	ILLUMINA	WGS	1295743
SRR8364386	SAMN10610899	PRJNA510624	Haiti: CTC Gressier	2017-04-21	2018-12-22	ILLUMINA	WGS	926751
SRR8364381	SAMN10610900	PRJNA510624	Haiti: CTC Gressier	2017-04-24	2018-12-22	ILLUMINA	WGS	994901
SRR8364380	SAMN10610901	PRJNA510624	Haiti: Christianville school, Gressier	2017-04-27	2018-12-22	ILLUMINA	WGS	1324183
SRR8364383	SAMN10610902	PRJNA510624	Haiti: CTC Jacmel	2017-04-28	2018-12-22	ILLUMINA	WGS	1147240
SRR8364382	SAMN10610903	PRJNA510624	Haiti: CTC Jacmel	2017-05-05	2018-12-22	ILLUMINA	WGS	942837
SRR8364304	SAMN10610906	PRJNA510624	Haiti: CTC Gressier	2017-05-17	2018-12-22	ILLUMINA	WGS	1052882
SRR8364306	SAMN10610908	PRJNA510624	Haiti: CTC Jacmel	2017-05-17	2018-12-22	ILLUMINA	WGS	969588
SRR8364305	SAMN10610907	PRJNA510624	Haiti: CTC Gressier	2017-05-18	2018-12-22	ILLUMINA	WGS	984457
SRR8364307	SAMN10610909	PRJNA510624	Haiti: CTC Jacmel	2017-05-18	2018-12-22	ILLUMINA	WGS	1019519
SRR8364300	SAMN10610910	PRJNA510624	Haiti: CTC Jacmel	2017-05-19	2018-12-22	ILLUMINA	WGS	851399
SRR8364301	SAMN10610911	PRJNA510624	Haiti: CTC Jacmel	2017-05-20	2018-12-22	ILLUMINA	WGS	833040
SRR8364302	SAMN10610912	PRJNA510624	Haiti: CTC Jacmel	2017-05-23	2018-12-22	ILLUMINA	WGS	1023003
SRR8364303	SAMN10610913	PRJNA510624	Haiti: CTC Jacmel	2017-05-24	2018-12-22	ILLUMINA	WGS	856088
SRR8364296	SAMN10610914	PRJNA510624	Haiti: CTC Jacmel	2017-05-25	2018-12-22	ILLUMINA	WGS	988990
SRR8364297	SAMN10610915	PRJNA510624	Haiti: CTC Jacmel	2017-05-29	2018-12-22	ILLUMINA	WGS	896801
SRR22265449	SAMN31697734	PRJNA900623	Haiti: Brach	2017-06-23	2022-12-17	ILLUMINA	WGS	249471
SRR22265450	SAMN31697733	PRJNA900623	Haiti: Logne Arrondissement	2017-06-23	2022-12-17	ILLUMINA	WGS	148858
SRR24010037	SAMN33974382	PRJNA900623	Haiti: Port-au-Prince	2017-09-02	2024-04-28	ILLUMINA	WGS	282437
SRR8364389	SAMN10610904	PRJNA510624	Haiti: CTC Gressier	2017-11-05	2018-12-22	ILLUMINA	WGS	932363
SRR8364388	SAMN10610905	PRJNA510624	Haiti: CTC Jacmel	2017-12-05	2018-12-22	ILLUMINA	WGS	1153710
SRR24010030	SAMN33974397	PRJNA900623	Haiti: Port-au-Prince	2018-03-06	2024-04-28	ILLUMINA	WGS	285331
SRR24010029	SAMN33974398	PRJNA900623	Haiti: Jacmel	2018-04-22	2024-04-28	ILLUMINA	WGS	205497
SRR22265475	SAMN31697702	PRJNA900623	Haiti: Gressier	2018-04-27	2022-12-17	ILLUMINA	WGS	346435
SRR22265452	SAMN31697705	PRJNA900623	Haiti: Gressier	2018-05-03	2022-12-17	ILLUMINA	WGS	241524
SRR22265463	SAMN31697704	PRJNA900623	Haiti: Gressier	2018-05-04	2022-12-17	ILLUMINA	WGS	293684
SRR22265474	SAMN31697703	PRJNA900623	Haiti: Gressier	2018-05-04	2022-12-17	ILLUMINA	WGS	276896
SRR22265440	SAMN31697708	PRJNA900623	Haiti: Gressier	2018-05-06	2022-12-17	ILLUMINA	WGS	391784
SRR22265442	SAMN31697706	PRJNA900623	Haiti: Gressier	2018-05-08	2022-12-17	ILLUMINA	WGS	264158
SRR22265441	SAMN31697707	PRJNA900623	Haiti: Gressier	2018-05-09	2022-12-17	ILLUMINA	WGS	244286
SRR22265453	SAMN31697731	PRJNA900623	Haiti: Gressier	2018-05-11	2022-12-17	ILLUMINA	WGS	218026
SRR22265456	SAMN31697728	PRJNA900623	Haiti: Gressier	2018-05-11	2022-12-17	ILLUMINA	WGS	282078
SRR22265455	SAMN31697729	PRJNA900623	Haiti: Gressier	2018-05-15	2022-12-17	ILLUMINA	WGS	228277
SRR24010036	SAMN33974383	PRJNA900623	Haiti: Port-au-Prince	2018-05-16	2024-04-28	ILLUMINA	WGS	268296
SRR24010026	SAMN33974386	PRJNA900623	Haiti: Jacmel	2018-05-17	2024-04-28	ILLUMINA	WGS	273386
SRR24010028	SAMN33974384	PRJNA900623	Haiti: Port-au-Prince	2018-05-17	2024-04-28	ILLUMINA	WGS	257975
SRR24010025	SAMN33974387	PRJNA900623	Haiti: Jacmel	2018-05-18	2024-04-28	ILLUMINA	WGS	272468
SRR24010027	SAMN33974385	PRJNA900623	Haiti: Port-au-Prince	2018-05-18	2024-04-28	ILLUMINA	WGS	338856
SRR24010024	SAMN33974388	PRJNA900623	Haiti: Jacmel	2018-05-19	2024-04-28	ILLUMINA	WGS	299490
SRR24010023	SAMN33974389	PRJNA900623	Haiti: Jacmel	2018-05-20	2024-04-28	ILLUMINA	WGS	264663
SRR22265439	SAMN31697709	PRJNA900623	Haiti: Gressier	2018-05-22	2022-12-17	ILLUMINA	WGS	383175
SRR22265448	SAMN31697735	PRJNA900623	Haiti: Gressier	2018-05-23	2022-12-17	ILLUMINA	WGS	212911
SRR24010022	SAMN33974390	PRJNA900623	Haiti: Jacmel	2018-05-23	2024-04-28	ILLUMINA	WGS	174469
SRR22265451	SAMN31697732	PRJNA900623	Haiti: Gressier	2018-05-24	2022-12-17	ILLUMINA	WGS	110126
SRR24010021	SAMN33974391	PRJNA900623	Haiti: Jacmel	2018-05-24	2024-04-28	ILLUMINA	WGS	649635
SRR24010035	SAMN33974392	PRJNA900623	Haiti: Jacmel	2018-05-25	2024-04-28	ILLUMINA	WGS	249981
SRR24010034	SAMN33974393	PRJNA900623	Haiti: Jacmel	2018-05-29	2024-04-28	ILLUMINA	WGS	210370
SRR24010033	SAMN33974394	PRJNA900623	Haiti: Jacmel	2018-05-30	2024-04-28	ILLUMINA	WGS	175774
SRR22265438	SAMN31697710	PRJNA900623	Haiti: Gressier	2018-06-01	2022-12-17	ILLUMINA	WGS	281767
SRR22265460	SAMN31697724	PRJNA900623	Haiti: Gressier	2018-06-01	2022-12-17	ILLUMINA	WGS	404650
SRR22265467	SAMN31697718	PRJNA900623	Haiti: Gressier	2018-06-06	2022-12-17	ILLUMINA	WGS	583333
SRR24010032	SAMN33974395	PRJNA900623	Haiti: Jacmel	2018-06-06	2024-04-28	ILLUMINA	WGS	162334
SRR22265466	SAMN31697719	PRJNA900623	Haiti: Gressier	2018-06-07	2022-12-17	ILLUMINA	WGS	456398
SRR22265465	SAMN31697720	PRJNA900623	Haiti: Gressier	2018-06-08	2022-12-17	ILLUMINA	WGS	464997
SRR22265462	SAMN31697722	PRJNA900623	Haiti: Gressier	2018-06-10	2022-12-17	ILLUMINA	WGS	230049
SRR22265461	SAMN31697723	PRJNA900623	Haiti: Gressier	2018-06-11	2022-12-17	ILLUMINA	WGS	217523
SRR24010031	SAMN33974396	PRJNA900623	Haiti: Port-au-Prince	2018-06-12	2024-04-28	ILLUMINA	WGS	285859
SRR22265437	SAMN31697711	PRJNA900623	Haiti: Gressier	2018-06-19	2022-12-17	ILLUMINA	WGS	177224
SRR22265470	SAMN31697715	PRJNA900623	Haiti: Gressier	2018-06-20	2022-12-17	ILLUMINA	WGS	316854
SRR22265471	SAMN31697714	PRJNA900623	Haiti: Gressier	2018-06-20	2022-12-17	ILLUMINA	WGS	280342
SRR22265473	SAMN31697712	PRJNA900623	Haiti: Gressier	2018-06-20	2022-12-17	ILLUMINA	WGS	325824
SRR22265469	SAMN31697716	PRJNA900623	Haiti: Gressier	2018-06-21	2022-12-17	ILLUMINA	WGS	286387
SRR22265472	SAMN31697713	PRJNA900623	Haiti: Gressier	2018-06-21	2022-12-17	ILLUMINA	WGS	435360
SRR22265464	SAMN31697721	PRJNA900623	Haiti: Gressier	2018-06-30	2022-12-17	ILLUMINA	WGS	476566
SRR22265468	SAMN31697717	PRJNA900623	Haiti: Gressier	2018-06-30	2022-12-17	ILLUMINA	WGS	331667
SRR22265459	SAMN31697725	PRJNA900623	Haiti: Gressier	2018-07-03	2022-12-17	ILLUMINA	WGS	215349
SRR22265458	SAMN31697726	PRJNA900623	Haiti: Gressier	2018-07-04	2022-12-17	ILLUMINA	WGS	302013
SRR22265457	SAMN31697727	PRJNA900623	Haiti: Gressier	2018-07-05	2022-12-17	ILLUMINA	WGS	281622
SRR22265454	SAMN31697730	PRJNA900623	Haiti: Gressier	2018-07-06	2022-12-17	ILLUMINA	WGS	188927
SRR22265445	SAMN31697738	PRJNA900623	Haiti: Gressier	2018-09-24	2022-12-17	ILLUMINA	WGS	381251
SRR22265446	SAMN31697737	PRJNA900623	Haiti: Carrefour	2021-03-12	2022-12-17	ILLUMINA	WGS	306742
SRR22265447	SAMN31697736	PRJNA900623	Haiti: Port-au-Prince	2021-09-22	2022-12-17	ILLUMINA	WGS	173450
SRR23509864	SAMN33339990	PRJNA266293	Haiti	2022	2023-02-27	ILLUMINA	WGS	587879
SRR23509866	SAMN33339989	PRJNA266293	Haiti	2022	2023-02-27	ILLUMINA	WGS	1006030
SRR23509867	SAMN33339994	PRJNA266293	Haiti	2022	2023-02-27	ILLUMINA	WGS	1328942
SRR23509871	SAMN33339996	PRJNA266293	Haiti	2022	2023-02-27	ILLUMINA	WGS	1032310
SRR23509889	SAMN33339991	PRJNA266293	Haiti	2022	2023-02-27	ILLUMINA	WGS	567629
SRR23509894	SAMN33339988	PRJNA266293	Haiti	2022	2023-02-27	ILLUMINA	WGS	1134600
SRR23509899	SAMN33339932	PRJNA266293	Haiti	2022	2023-02-27	ILLUMINA	WGS	845510
SRR23509900	SAMN33339936	PRJNA266293	Haiti	2022	2023-02-27	ILLUMINA	WGS	1304371
SRR23510631	SAMN33339993	PRJNA266293	Haiti	2022	2023-02-27	ILLUMINA	WGS	544038
SRR23510634	SAMN33339935	PRJNA266293	Haiti	2022	2023-02-27	ILLUMINA	WGS	1293443
SRR23510637	SAMN33339933	PRJNA266293	Haiti	2022	2023-02-27	ILLUMINA	WGS	802656
SRR23510640	SAMN33339992	PRJNA266293	Haiti	2022	2023-02-27	ILLUMINA	WGS	567966
SRR23510641	SAMN33339995	PRJNA266293	Haiti	2022	2023-02-27	ILLUMINA	WGS	731942
SRR23510642	SAMN33339934	PRJNA266293	Haiti	2022	2023-02-27	ILLUMINA	WGS	611492
SRR23510649	SAMN33339987	PRJNA266293	Haiti	2022	2023-02-27	ILLUMINA	WGS	1190604
SRR23510654	SAMN33339986	PRJNA266293	Haiti	2022	2023-02-27	ILLUMINA	WGS	810235
SRR22351617	SAMN31806450	PRJNA903489	Haiti: Cite Soleil, Port-au-Prince	2022-09-30	2022-11-21	ILLUMINA	WGS	58506608
SRR22265444	SAMN31697739	PRJNA900623	Haiti	2022-10-03	2022-12-17	ILLUMINA	WGS	401353
SRR22265443	SAMN31697740	PRJNA900623	Haiti	2022-10-04	2022-12-17	ILLUMINA	WGS	210018
SRR24003614	SAMN33964162	PRJNA900623	Haiti: Port au Prince	2022-11-09	2024-04-28	ILLUMINA	WGS	6306294
SRR24003587	SAMN33964169	PRJNA900623	Haiti: Port au Prince	2022-11-10	2024-04-28	ILLUMINA	WGS	4602574
SRR24003588	SAMN33964168	PRJNA900623	Haiti: Port au Prince	2022-11-10	2024-04-28	ILLUMINA	WGS	7339471
SRR24003589	SAMN33964167	PRJNA900623	Haiti: Port au Prince	2022-11-10	2024-04-28	ILLUMINA	WGS	5348314
SRR24003590	SAMN33964166	PRJNA900623	Haiti: Port au Prince	2022-11-10	2024-04-28	ILLUMINA	WGS	6480748
SRR24003591	SAMN33964165	PRJNA900623	Haiti: Port au Prince	2022-11-10	2024-04-28	ILLUMINA	WGS	7414019
SRR24003592	SAMN33964164	PRJNA900623	Haiti: Port au Prince	2022-11-10	2024-04-28	ILLUMINA	WGS	2149247
SRR24003603	SAMN33964163	PRJNA900623	Haiti: Port au Prince	2022-11-10	2024-04-28	ILLUMINA	WGS	7921956
SRR24003623	SAMN33964171	PRJNA900623	Haiti: Port au Prince	2022-11-10	2024-04-28	ILLUMINA	WGS	3318051
SRR24003624	SAMN33964170	PRJNA900623	Haiti: Port au Prince	2022-11-10	2024-04-28	ILLUMINA	WGS	1314649
SRR24003612	SAMN33964181	PRJNA900623	Haiti: Port au Prince	2022-11-15	2024-04-28	ILLUMINA	WGS	1614703
SRR24003613	SAMN33964180	PRJNA900623	Haiti: Port au Prince	2022-11-15	2024-04-28	ILLUMINA	WGS	4417334
SRR24003615	SAMN33964179	PRJNA900623	Haiti: Port au Prince	2022-11-15	2024-04-28	ILLUMINA	WGS	3464884
SRR24003616	SAMN33964178	PRJNA900623	Haiti: Port au Prince	2022-11-15	2024-04-28	ILLUMINA	WGS	4798816
SRR24003617	SAMN33964177	PRJNA900623	Haiti: Port au Prince	2022-11-15	2024-04-28	ILLUMINA	WGS	1258922
SRR24003618	SAMN33964176	PRJNA900623	Haiti: Port au Prince	2022-11-15	2024-04-28	ILLUMINA	WGS	1349979
SRR24003619	SAMN33964175	PRJNA900623	Haiti: Port au Prince	2022-11-15	2024-04-28	ILLUMINA	WGS	3573881
SRR24003620	SAMN33964174	PRJNA900623	Haiti: Port au Prince	2022-11-15	2024-04-28	ILLUMINA	WGS	5710535
SRR24003621	SAMN33964173	PRJNA900623	Haiti: Port au Prince	2022-11-15	2024-04-28	ILLUMINA	WGS	3040952
SRR24003622	SAMN33964172	PRJNA900623	Haiti: Port au Prince	2022-11-15	2024-04-28	ILLUMINA	WGS	3967369
SRR24003602	SAMN33964190	PRJNA900623	Haiti: Port au Prince	2022-11-16	2024-04-28	ILLUMINA	WGS	17653174
SRR24003604	SAMN33964189	PRJNA900623	Haiti: Port au Prince	2022-11-16	2024-04-28	ILLUMINA	WGS	6165458
SRR24003605	SAMN33964188	PRJNA900623	Haiti: Port au Prince	2022-11-16	2024-04-28	ILLUMINA	WGS	3209032
SRR24003606	SAMN33964187	PRJNA900623	Haiti: Port au Prince	2022-11-16	2024-04-28	ILLUMINA	WGS	5287388
SRR24003607	SAMN33964186	PRJNA900623	Haiti: Port au Prince	2022-11-16	2024-04-28	ILLUMINA	WGS	5428641
SRR24003608	SAMN33964185	PRJNA900623	Haiti: Port au Prince	2022-11-16	2024-04-28	ILLUMINA	WGS	10391286
SRR24003609	SAMN33964184	PRJNA900623	Haiti: Port au Prince	2022-11-16	2024-04-28	ILLUMINA	WGS	14592946
SRR24003610	SAMN33964183	PRJNA900623	Haiti: Port au Prince	2022-11-16	2024-04-28	ILLUMINA	WGS	2213583
SRR24003611	SAMN33964182	PRJNA900623	Haiti: Port au Prince	2022-11-16	2024-04-28	ILLUMINA	WGS	1220883
SRR24003626	SAMN33964160	PRJNA900623	Haiti: Fond Parisien	2022-11-16	2024-04-28	ILLUMINA	WGS	8796691
SRR24003625	SAMN33964161	PRJNA900623	Haiti: Fond Parisien	2022-11-17	2024-04-28	ILLUMINA	WGS	6421355
SRR24003593	SAMN33964199	PRJNA900623	Haiti: Port au Prince	2022-11-21	2024-04-28	ILLUMINA	WGS	3885924
SRR24003594	SAMN33964198	PRJNA900623	Haiti: Port au Prince	2022-11-21	2024-04-28	ILLUMINA	WGS	3815187
SRR24003595	SAMN33964197	PRJNA900623	Haiti: Port au Prince	2022-11-21	2024-04-28	ILLUMINA	WGS	7760062
SRR24003596	SAMN33964196	PRJNA900623	Haiti: Port au Prince	2022-11-21	2024-04-28	ILLUMINA	WGS	16046437
SRR24003597	SAMN33964195	PRJNA900623	Haiti: Port au Prince	2022-11-21	2024-04-28	ILLUMINA	WGS	4892682
SRR24003598	SAMN33964194	PRJNA900623	Haiti: Port au Prince	2022-11-21	2024-04-28	ILLUMINA	WGS	5652092
